1
  0  0 -0.32078E-02
  1  0 -0.31897E-02
  7  3 -0.33167E-03 -0.33203E-03
  7  4  0.62675E-03 -0.20122E-03
  7  5  0.70686E-04  0.73346E-03
  7  6  0.31735E-03 -0.14166E-03
  7  7 -0.67186E-03 -0.51738E-03
  8  0  0.24180E-03
  8  1 -0.67365E-03  0.24110E-05
  8  2 -0.74246E-04  0.31842E-03
  8  3 -0.34300E-04  0.13904E-03
  8  4 -0.30347E-03 -0.86966E-04
  8  5  0.13347E-03  0.19653E-03
  8  6  0.25764E-03  0.46789E-03
  8  7  0.59771E-03  0.15904E-04
  8  8  0.42954E-03  0.56110E-03
  9  0  0.53078E-03
  9  1 -0.12151E-03 -0.10151E-03
  9  2 -0.11322E-03 -0.26054E-07
  9  3  0.17629E-03  0.19000E-03
  9  4  0.57093E-03 -0.15606E-03
  9  5  0.16519E-03 -0.18668E-03
  9  6  0.11543E-02 -0.35456E-03
  9  7  0.98635E-04 -0.16359E-03
  9  8  0.24272E-03 -0.22149E-03
  9  9  0.70200E-04  0.85053E-03
 10  0  0.24076E-03
 10  1 -0.24885E-03  0.47857E-03
 10  2  0.26972E-04 -0.33973E-03
 10  3 -0.31510E-03  0.14525E-03
 10  4 -0.64007E-03  0.15066E-03
 10  5  0.66703E-03  0.11410E-03
 10  6  0.28498E-03  0.19377E-03
 10  7  0.64148E-03 -0.11620E-04
 10  8 -0.56844E-03 -0.10945E-03
 10  9 -0.45362E-03 -0.28491E-03
 10 10  0.33555E-04 -0.41177E-03
 11  0  0.54506E-03
 11  1 -0.93802E-03  0.31875E-03
 11  2  0.40594E-04 -0.99974E-04
 11  3  0.12721E-03 -0.17858E-03
 11  4  0.56873E-04  0.62487E-03
 11  5  0.30085E-03  0.49710E-04
 11  6  0.55313E-03 -0.23802E-03
 11  7  0.46382E-03  0.26544E-05
 11  8  0.47318E-04 -0.11309E-03
 11  9 -0.55505E-03 -0.26855E-03
 11 10 -0.24831E-03  0.54610E-04
 11 11 -0.90284E-03  0.20203E-03
 12  0  0.25604E-03
 12  1 -0.45238E-03 -0.89970E-04
 12  2 -0.55905E-03 -0.11454E-03
 12  3 -0.44600E-04 -0.10248E-03
 12  4  0.80640E-04 -0.27633E-04
 12  5  0.40241E-03  0.22246E-03
 12  6  0.29990E-03 -0.10219E-03
 12  7  0.40342E-03  0.12877E-03
 12  8  0.59219E-03 -0.14685E-03
 12  9 -0.37314E-03  0.29574E-03
 12 10 -0.37167E-03  0.12633E-03
 12 11 -0.43703E-03  0.17737E-03
 12 12  0.14221E-03  0.20736E-05
5
  0  0  0.11824E-02
  1  0 -0.29176E-02
  1  1  0.48216E-03 -0.23165E-03
  2  0 -0.34295E-03
  2  1 -0.12623E-02  0.81166E-03
  2  2  0.23525E-03 -0.12514E-02
  3  0 -0.35858E-03
  3  1  0.14545E-02 -0.19379E-02
  3  2  0.95565E-04 -0.71007E-03
  3  3 -0.34721E-03  0.30399E-03
  4  0  0.50629E-03
  4  1 -0.72746E-03 -0.57111E-03
  4  2  0.59185E-03 -0.12886E-03
  4  3  0.42824E-03  0.69987E-04
  4  4 -0.97815E-03  0.99892E-03
  5  0  0.67923E-03
  5  1 -0.23389E-04 -0.82110E-03
  5  2  0.13007E-03 -0.15281E-03
  5  3 -0.10964E-04 -0.42513E-03
  5  4 -0.36949E-03  0.94978E-04
  5  5  0.73226E-03 -0.12394E-02
  6  0  0.84833E-03
  6  1 -0.71482E-03  0.41696E-03
  6  2  0.46750E-03 -0.21675E-05
  6  3  0.20744E-03 -0.38959E-03
  6  4  0.35502E-03  0.25445E-03
  6  5  0.26739E-03 -0.56332E-03
  6  6 -0.88717E-03  0.23641E-03
  7  0  0.34540E-03
  7  1  0.22431E-03 -0.42948E-03
  7  2  0.56110E-03  0.47606E-03
  7  3 -0.36889E-03 -0.54692E-03
  7  4  0.90449E-04 -0.17537E-03
  7  5 -0.17489E-04  0.57807E-03
  7  6 -0.11058E-03  0.30424E-03
  7  7 -0.10892E-02 -0.79334E-03
  8  0  0.19036E-04
  8  1 -0.71775E-03 -0.17684E-03
  8  2  0.49283E-04  0.92667E-04
  8  3 -0.28265E-03  0.85320E-04
  8  4 -0.27175E-03  0.54679E-04
  8  5  0.82066E-04  0.51082E-03
  8  6  0.68289E-05  0.22991E-03
  8  7  0.41991E-03  0.39121E-03
  8  8  0.24447E-03  0.44496E-03
  9  0  0.40666E-03
  9  1 -0.27545E-03 -0.10220E-03
  9  2 -0.30570E-03 -0.15723E-03
  9  3 -0.18626E-04  0.36502E-03
  9  4  0.46107E-03 -0.61459E-04
  9  5  0.51888E-04 -0.15584E-03
  9  6  0.65095E-03 -0.38122E-03
  9  7  0.58560E-04 -0.13336E-03
  9  8  0.12857E-03  0.21102E-03
  9  9  0.22525E-03  0.24793E-03
 10  0  0.10293E-03
 10  1  0.91926E-04  0.38363E-03
 10  2 -0.17737E-03 -0.36555E-03
 10  3 -0.32410E-03  0.24801E-03
 10  4 -0.30962E-03  0.18355E-03
 10  5  0.34879E-03  0.35846E-04
 10  6  0.19095E-03  0.31044E-03
 10  7  0.16615E-03 -0.83541E-04
 10  8 -0.10637E-03 -0.29728E-04
 10  9 -0.71134E-04 -0.25001E-03
 10 10 -0.48639E-04 -0.25503E-03
 11  0  0.18684E-03
 11  1 -0.30201E-03  0.29803E-03
 11  2 -0.14280E-03  0.28082E-04
 11  3 -0.52843E-04 -0.10793E-04
 11  4  0.15611E-03  0.52690E-03
 11  5  0.35810E-03 -0.18985E-03
 11  6  0.51079E-03  0.19154E-03
 11  7 -0.95724E-05  0.10871E-03
 11  8  0.71000E-05 -0.12675E-03
 11  9 -0.17923E-03 -0.25148E-03
 11 10 -0.10440E-04  0.24474E-03
 11 11 -0.10058E-02  0.20932E-03
 12  0 -0.37386E-05
 12  1 -0.94486E-04 -0.56475E-04
 12  2 -0.17577E-03  0.20967E-04
 12  3 -0.52887E-04 -0.18899E-03
 12  4  0.24639E-05 -0.30552E-03
 12  5  0.45148E-03  0.11252E-03
 12  6  0.24768E-03 -0.87384E-04
 12  7  0.11424E-03  0.74857E-04
 12  8  0.22175E-03 -0.12716E-03
 12  9 -0.12855E-04  0.28991E-03
 12 10 -0.14159E-03 -0.83394E-05
 12 11 -0.33317E-03 -0.31645E-04
 12 12  0.33330E-04  0.10581E-04
6
  0  0 -0.97253E-02
  1  0 -0.14261E-02
  1  1  0.32282E-03 -0.10516E-02
  2  0  0.28956E-03
  2  1 -0.75881E-03 -0.25788E-03
  2  2  0.19740E-02 -0.86399E-03
  3  0  0.28815E-03
  3  1  0.12359E-02 -0.14748E-02
  3  2  0.18801E-03  0.21364E-03
  3  3  0.16618E-03 -0.20286E-03
  4  0  0.87421E-03
  4  1 -0.78561E-03 -0.30111E-03
  4  2 -0.50713E-04 -0.44222E-03
  4  3  0.18209E-04  0.17639E-03
  4  4 -0.49138E-03  0.55388E-03
  5  0  0.71946E-03
  5  1 -0.29754E-03 -0.23987E-03
  5  2 -0.98864E-05 -0.13005E-03
  5  3  0.86583E-04 -0.42204E-03
  5  4 -0.52615E-04  0.25865E-03
  5  5  0.30140E-03 -0.10035E-02
  6  0  0.75425E-03
  6  1 -0.56090E-03  0.39631E-03
  6  2  0.38190E-03  0.18559E-03
  6  3 -0.15881E-03 -0.91426E-04
  6  4  0.30683E-03 -0.44934E-04
  6  5 -0.18981E-03 -0.28879E-04
  6  6 -0.39834E-03  0.43784E-03
  7  0  0.17781E-03
  7  1  0.83550E-04 -0.30083E-03
  7  2  0.24792E-03  0.32809E-03
  7  3 -0.42462E-03 -0.49385E-03
  7  4 -0.47275E-04  0.17638E-04
  7  5 -0.15008E-03  0.48149E-03
  7  6 -0.26296E-03  0.64340E-03
  7  7 -0.10490E-02 -0.69115E-03
  8  0 -0.19642E-03
  8  1 -0.49642E-03 -0.19677E-03
  8  2  0.21694E-03 -0.12450E-03
  8  3 -0.35059E-03  0.61249E-04
  8  4 -0.24514E-03  0.19649E-04
  8  5 -0.41569E-04  0.66818E-03
  8  6 -0.19243E-03  0.64438E-04
  8  7  0.11711E-03  0.61778E-03
  8  8  0.18298E-03  0.25907E-03
  9  0  0.17045E-03
  9  1 -0.27379E-03 -0.28066E-04
  9  2 -0.28605E-03 -0.10973E-03
  9  3  0.35509E-04  0.36391E-03
  9  4  0.25830E-03 -0.28474E-04
  9  5 -0.46294E-05 -0.21568E-03
  9  6  0.25077E-03 -0.27152E-03
  9  7  0.57469E-04 -0.18538E-03
  9  8  0.80010E-04  0.27143E-03
  9  9  0.29070E-03 -0.70235E-04
 10  0  0.38614E-04
 10  1  0.11615E-03  0.27781E-03
 10  2 -0.28394E-03 -0.21176E-03
 10  3 -0.63886E-04  0.24894E-03
 10  4 -0.95431E-04  0.16344E-03
 10  5  0.15777E-05 -0.82029E-04
 10  6  0.15043E-03  0.19503E-03
 10  7 -0.20570E-04 -0.90925E-04
 10  8  0.21779E-03 -0.84619E-05
 10  9  0.10183E-03 -0.25631E-03
 10 10 -0.66193E-04 -0.10182E-03
 11  0 -0.20703E-04
 11  1  0.98476E-04  0.18059E-03
 11  2 -0.97930E-04  0.10050E-04
 11  3  0.12197E-05  0.80857E-04
 11  4  0.24757E-03  0.40440E-03
 11  5  0.37561E-03 -0.25866E-03
 11  6  0.38670E-03  0.28163E-03
 11  7 -0.93499E-04  0.12460E-03
 11  8 -0.15110E-04 -0.11135E-03
 11  9  0.12842E-03 -0.18077E-03
 11 10  0.47457E-04  0.27022E-03
 11 11 -0.75851E-03  0.20566E-03
 12  0 -0.89014E-04
 12  1  0.19270E-03 -0.85284E-05
 12  2  0.30244E-04  0.23131E-04
 12  3  0.37810E-04 -0.18206E-03
 12  4  0.49784E-04 -0.27672E-03
 12  5  0.28512E-03  0.25028E-04
 12  6  0.18220E-03 -0.47982E-04
 12  7 -0.89796E-04  0.87865E-05
 12  8  0.10259E-03 -0.97859E-04
 12  9  0.46053E-04  0.24984E-03
 12 10 -0.59072E-04 -0.47512E-04
 12 11 -0.22768E-03 -0.33843E-04
 12 12 -0.22265E-04 -0.47177E-04
7
  0  0 -0.86946E-02
  1  0 -0.27765E-03
  1  1  0.36449E-03 -0.78581E-03
  2  0  0.11972E-03
  2  1  0.45072E-03 -0.84355E-03
  2  2  0.19229E-02 -0.95631E-04
  3  0  0.52868E-03
  3  1  0.25401E-03 -0.40872E-03
  3  2  0.35883E-03  0.73487E-03
  3  3  0.40336E-03 -0.41189E-03
  4  0  0.67790E-03
  4  1 -0.57124E-03  0.16358E-03
  4  2 -0.23443E-03 -0.28084E-03
  4  3 -0.12857E-03  0.33076E-03
  4  4  0.26753E-03  0.40379E-04
  5  0  0.36363E-03
  5  1 -0.15744E-03  0.11479E-03
  5  2  0.59006E-04 -0.15316E-03
  5  3 -0.28381E-04 -0.16458E-03
  5  4  0.13533E-03  0.11146E-03
  5  5 -0.19280E-04 -0.32494E-03
  6  0  0.27129E-03
  6  1 -0.94349E-04  0.17993E-03
  6  2  0.11455E-03  0.10444E-03
  6  3 -0.15717E-03 -0.90905E-05
  6  4  0.31872E-03 -0.15715E-03
  6  5 -0.24620E-03  0.75408E-04
  6  6 -0.26067E-04  0.28300E-03
  7  0  0.51908E-04
  7  1  0.63210E-04 -0.22819E-03
  7  2  0.19920E-04  0.58359E-04
  7  3 -0.22171E-03 -0.32385E-03
  7  4  0.63655E-05  0.39536E-05
  7  5  0.23834E-04  0.13289E-03
  7  6 -0.17490E-03  0.43729E-03
  7  7 -0.60891E-03 -0.34110E-03
  8  0 -0.11809E-03
  8  1 -0.12197E-03 -0.11345E-03
  8  2  0.11585E-03 -0.22093E-03
  8  3 -0.11315E-03 -0.10068E-06
  8  4 -0.13305E-03  0.13079E-04
  8  5  0.13002E-04  0.27677E-03
  8  6 -0.16003E-03  0.55250E-04
  8  7 -0.61764E-06  0.34084E-03
  8  8  0.14964E-04  0.68603E-04
  9  0  0.72169E-04
  9  1  0.18249E-04 -0.38156E-04
  9  2 -0.11835E-03 -0.68087E-04
  9  3  0.22465E-04  0.13690E-03
  9  4  0.14887E-03 -0.79323E-04
  9  5 -0.87493E-05 -0.11131E-03
  9  6  0.67198E-04 -0.21893E-03
  9  7  0.25710E-04 -0.68126E-04
  9  8 -0.56635E-04  0.11721E-04
  9  9  0.15838E-03 -0.90967E-04
 10  0  0.10083E-04
 10  1  0.59854E-04  0.15915E-03
 10  2 -0.11128E-03 -0.34128E-04
 10  3  0.20392E-04  0.12444E-03
 10  4 -0.16681E-04  0.55852E-04
 10  5 -0.12882E-03 -0.28394E-04
 10  6  0.86359E-04  0.19489E-04
 10  7 -0.29597E-04 -0.64262E-04
 10  8  0.14899E-03 -0.78992E-05
 10  9  0.61400E-04 -0.13594E-03
 10 10 -0.61634E-04 -0.34444E-04
 11  0 -0.24605E-04
 11  1  0.28241E-04  0.96413E-04
 11  2 -0.20559E-04  0.58103E-04
 11  3  0.14039E-04  0.11437E-03
 11  4  0.10849E-03  0.16330E-03
 11  5  0.17660E-03 -0.11817E-03
 11  6  0.20630E-03  0.15008E-03
 11  7 -0.29493E-04  0.64727E-04
 11  8 -0.22189E-04 -0.45143E-04
 11  9  0.95050E-04 -0.13340E-03
 11 10  0.85319E-04  0.13381E-03
 11 11 -0.32340E-03  0.79542E-04
 12  0 -0.26468E-04
 12  1  0.10719E-03 -0.23144E-04
 12  2  0.45531E-05  0.52427E-05
 12  3  0.38756E-04 -0.57366E-04
 12  4  0.28507E-04 -0.14944E-03
 12  5  0.82595E-04  0.29011E-04
 12  6  0.10708E-03  0.27962E-04
 12  7 -0.68291E-04 -0.16809E-04
 12  8  0.23456E-04  0.26454E-04
 12  9  0.24523E-04  0.83816E-04
 12 10  0.70741E-05 -0.50898E-04
 12 11 -0.44949E-04 -0.72881E-05
 12 12  0.19987E-04 -0.27404E-04
8
  0  0 -0.63305E-02
  1  0 -0.17479E-03
  1  1  0.37583E-03 -0.42004E-03
  2  0  0.80035E-04
  2  1  0.67054E-03 -0.66170E-03
  2  2  0.13865E-02  0.11605E-03
  3  0  0.39162E-03
  3  1  0.27990E-04 -0.10643E-03
  3  2  0.28925E-03  0.65546E-03
  3  3  0.40297E-03 -0.30534E-03
  4  0  0.51132E-03
  4  1 -0.39565E-03  0.15725E-03
  4  2 -0.17886E-03 -0.22370E-03
  4  3 -0.12241E-03  0.25378E-03
  4  4  0.29669E-03 -0.26215E-04
  5  0  0.23849E-03
  5  1 -0.10095E-03  0.10828E-03
  5  2  0.20441E-04 -0.12951E-03
  5  3 -0.30491E-04 -0.11219E-03
  5  4  0.56932E-04  0.57606E-04
  5  5 -0.27323E-04 -0.22337E-03
  6  0  0.15171E-03
  6  1 -0.22759E-04  0.14184E-03
  6  2  0.70782E-04  0.32686E-04
  6  3 -0.13535E-03  0.69459E-04
  6  4  0.18801E-03 -0.10983E-03
  6  5 -0.17841E-03  0.68657E-04
  6  6  0.53612E-04  0.20762E-03
  7  0  0.26497E-04
  7  1  0.57216E-04 -0.11397E-03
  7  2 -0.20475E-04  0.11794E-04
  7  3 -0.15112E-03 -0.19551E-03
  7  4  0.31213E-04  0.28366E-04
  7  5 -0.20097E-05  0.10054E-03
  7  6 -0.10307E-03  0.30037E-03
  7  7 -0.37054E-03 -0.21403E-03
  8  0 -0.98363E-04
